UID,Facility_Name,Owner,Lat,Lon,City,County,State,Zipcode,Standard,Type_of_Facility,Congressional_District,Rep,Party,Simple_Status,Status,Source_Name,Source_Link,FRS_ID,dem_frs_id,EIS_ID,TRI_ID,GHGRP_ID,Total_Population_1_Mile,per_People_of_Color_1_Mile,per_Low_Income_1_Mile,per_5_and_Younger_1_Mile,per_65_and_Older_1_Mile,Total_Population_3_Miles,per_People_of_Color_3_Miles,per_Low_Income_3_Miles,per_5_and_Younger_3_Miles,per_65_and_Older_3_Miles,FRS_ID_CAA_Compliance,ECHO_Link_CAA_Compliance,CAA_Compliance_Status,Quarters_of_Past_12_in_Noncompliance,Quarters_of_Past_12_with_High_Priority_Violations,Formal_Enforcement_Actions_within_Past_5_Years,GHGRP_2023_GHG_Emissions_MTCO2e,NEI_2020_CAP_Emissions_tons,NEI_2020_HAP_Emissions_lbs
1011,American Contract Systems Inc,,33.3070,-111.9687,Chandler,Maricopa,AZ,85226,Sterilizer Rule,Commercial Sterilizer,AZ4,Rep. Greg Stanton,Democrat,No Information,No Information,,,110071272449,110071272449,21480611,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110071272449,https://echo.epa.gov/detailed-facility-report?fid=110071272449,No Violation Identified,0,0,0,#N/A,#N/A,"2,879"
1012,Cardiac Pacemakers Inc/Boston Scientific,,45.0701,-93.1533,Arden Hills,Ramsey,MN,55112,Sterilizer Rule,Commercial Sterilizer,MN4,Rep. Betty McCollum,Democrat,No Information,No Information,,,110000424309,110000424309,7172111,55112CRDCP4100H,0,6331,23,13,5,15,6331,23,13,5,15,110000424309,https://echo.epa.gov/detailed-facility-report?fid=110000424309,No Violation Identified,0,0,0,#N/A,32,"2,282"
1013,Blue Line Sterilization Services,,38.0749,-122.5384,Novato,Marin,CA,94949,Sterilizer Rule,Commercial Sterilizer,CA2,Rep. Jared Huffman,Democrat,No Information,No Information,,,110058335289,110058335289,15717311,0,0,6421,48,28,3,19,40365,42,21,5,23,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,22
1014,"Sterigenics Us, Llc",,34.0576,-117.5484,Ontario,San Bernardino,CA,91761,Sterilizer Rule,Commercial Sterilizer,CA35,Rep. Norma Torres,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000478162,110000478162,"4947211, 10109911",91761GRFFT687SW,0,895,74,31,5,5,29742,78,28,6,7,110000478162,https://echo.epa.gov/detailed-facility-report?fid=110000478162,No Violation Identified,0,0,0,#N/A,6,711
1015,St. Jude Medical Crmd,,34.3057,-118.4786,Sylmar,Los Angeles,CA,91342,Sterilizer Rule,Commercial Sterilizer,CA29,Rep. Luz Rivas,Democrat,No Information,No Information,,,"110000785464, 110071778836",110000785464,186811,0,0,8397,94,29,5,13,121571,81,28,6,14,110000785464,https://echo.epa.gov/detailed-facility-report?fid=110000785464,No Violation Identified,0,0,0,#N/A,5,47
1016,"Steris, Inc.",,33.5010,-117.1592,Temecula,Riverside,CA,92590,Sterilizer Rule,Commercial Sterilizer,CA48,Rep. Darrell Issa,Republican,No Information,No Information,,,"110000479740, 110070452878, 110066023145",110000479740,16058311,92590SMDXP43425,0,3182,58,37,9,9,44654,51,24,6,12,110000479740,https://echo.epa.gov/detailed-facility-report?fid=110000479740,No Violation Identified,0,0,0,#N/A,#N/A,27
1017,Livanova,,39.8151,-105.1599,Arvada,Jefferson,CO,80004,Sterilizer Rule,Commercial Sterilizer,CO7,Rep. Brittany Pettersen,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000466488,110000466488,3868611,80004CBLBR14401,0,9531,12,9,5,19,59690,13,10,5,19,110000466488,https://echo.epa.gov/detailed-facility-report?fid=110000466488,No Violation Identified,1,0,1,#N/A,52,538
1018,Western,,40.0180,-105.2273,Boulder,Boulder,CO,80301,Sterilizer Rule,Commercial Sterilizer,CO2,Rep. Joe Neguse,Democrat,No Information,No Information,,,110071091875,110071091875,20042411,0,0,4260,22,19,2,19,80867,22,39,2,11,110071091875,https://echo.epa.gov/detailed-facility-report?fid=110071091875,No Violation Identified,0,0,0,#N/A,0,1
1019,"Terumo Bct Sterilization Service, Inc.",,39.7336,-105.1272,Lakewood,Jefferson,CO,80215,Sterilizer Rule,Commercial Sterilizer,CO7,Rep. Brittany Pettersen,Democrat,No Information,No Information,,,110041229694,110041229694,3832911,80215CBSTR11308,0,11440,27,25,4,15,88332,25,22,5,17,110041229694,https://echo.epa.gov/detailed-facility-report?fid=110041229694,No Violation Identified,0,0,0,#N/A,11,932
1020,"Jorgensen Labs, Inc.",,40.4023,-105.1078,Loveland,Larimer,CO,80537,Sterilizer Rule,Commercial Sterilizer,CO4,Rep. Lauren Boebert,Republican,No Information,No Information,,,110030489246,110030489246,12847611,0,0,8057,20,27,5,21,58615,16,20,6,22,110030489246,https://echo.epa.gov/detailed-facility-report?fid=110030489246,No Violation Identified,0,0,0,#N/A,#N/A,43
1021,Covidien Lp,,41.3391,-72.8689,North Haven,New Haven,CT,06473,Sterilizer Rule,Commercial Sterilizer,CT3,Rep. Rosa DeLauro,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,"110000316417, 110071869628",110000316417,2707711,06473NTDST195MC,0,7043,66,34,7,14,82380,53,34,6,15,110000316417,https://echo.epa.gov/detailed-facility-report?fid=110000316417,No Violation Identified,0,0,0,#N/A,#N/A,"10,284"
1022,Arthrex Manufacturing Inc Finishing,,26.2982,-81.4462,Ave Maria,Collier,FL,34142,Sterilizer Rule,Commercial Sterilizer,FL26,Rep. Mario Diaz-Balart,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110070379403,110070379403,18809411,3414WRTHRX6875B,0,203,27,1,0,46,2864,54,26,1,21,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,254
1023,Fort Myers Facility,,26.5750,-81.8502,Fort Myers,Lee,FL,33966,Sterilizer Rule,Commercial Sterilizer,FL19,Rep. Byron Donalds,Republican,No Information,No Information,,,"110071425488, 110071854415",110071425488,21481911,0,0,3186,34,34,6,33,63305,37,34,5,23,110071425488,https://echo.epa.gov/detailed-facility-report?fid=110071425488,No Violation Identified,0,0,0,#N/A,#N/A,#N/A
1024,International Sterilization Laboratory,,28.5601,-81.8384,Groveland,Lake,FL,34736,Sterilizer Rule,Commercial Sterilizer,FL11,"Rep. Daniel ""Dan"" Webster",Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110001742419,110001742419,12775411,3473WNTRNT217SA,0,2382,55,41,13,12,15679,49,32,8,15,110001742419,https://echo.epa.gov/detailed-facility-report?fid=110001742419,No Violation Identified,0,0,0,#N/A,2,794
1025,Medtronic Ent,,30.2560,-81.5922,Jacksonville,Duval,FL,32216,Sterilizer Rule,Commercial Sterilizer,FL5,Rep. John Rutherford,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000361992,110000361992,4359211,32216XMDTR6743S,0,6124,41,31,6,17,73669,49,34,6,14,110000361992,https://echo.epa.gov/detailed-facility-report?fid=110000361992,No Violation Identified,0,0,0,#N/A,#N/A,225
1026,"American Contract Systems, Inc.",,28.0629,-82.3667,Temple Terrace,Hillsborough,FL,33637,Sterilizer Rule,Commercial Sterilizer,FL15,Rep. Laurel Lee,Republican,No Information,No Information,,,110071425394,110071425394,21481211,0,0,7461,56,27,4,10,65362,53,44,5,12,110071425394,https://echo.epa.gov/detailed-facility-report?fid=110071425394,No Violation Identified,0,0,0,#N/A,#N/A,28
1027,Sterigenics U.S. Llc,,33.8320,-84.4692,Atlanta,Cobb,GA,30339,Sterilizer Rule,Commercial Sterilizer,GA6,Rep. Lucy McBath,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,"110000355963, 110071673291",110000355963,3699811,30080GRFFT2973O,0,5924,42,16,7,10,68559,51,19,6,13,110000355963,https://echo.epa.gov/detailed-facility-report?fid=110000355963,No Violation Identified,0,0,0,#N/A,#N/A,55
1028,Steris Inc.,,45.1342,-93.2753,Coon Rapids,Anoka,MN,55433,Sterilizer Rule,Commercial Sterilizer,MN3,Rep. Kelly Morrison,Democrat,No Information,No Information,,,110008821677,110008821677,6449011,55433QLTYS38090,0,5770,29,29,7,16,78448,34,21,6,16,110008821677,https://echo.epa.gov/detailed-facility-report?fid=110008821677,No Violation Identified,0,0,0,#N/A,3,199
1029,Medtronic Inc - Rice Creek,,45.0947,-93.2396,Fridley,Anoka,MN,55432,Sterilizer Rule,Commercial Sterilizer,MN5,Rep. Ilhan Omar,Democrat,No Information,No Information,,,110000835678,110000835678,"9518211, 6152011",0,0,10261,43,27,7,16,83242,39,26,8,16,110000835678,https://echo.epa.gov/detailed-facility-report?fid=110000835678,No Violation Identified,0,0,0,#N/A,11,161
1030,Boston Scientific Corporation,,41.6971,-71.5843,Coventry,Kent,RI,02816,Sterilizer Rule,Commercial Sterilizer,RI2,Rep. Seth Magaziner,Democrat,No Information,No Information,,,110032604938,110032604938,6560811,02816CSMDF8INDU,0,3166,8,15,3,16,31832,8,18,5,17,110032604938,https://echo.epa.gov/detailed-facility-report?fid=110032604938,No Violation Identified,0,0,0,#N/A,2,446
1031,Sterilization Services Of Georgia,,33.7264,-84.5841,Atlanta,Fulton,GA,30336,Sterilizer Rule,Commercial Sterilizer,GA6,Rep. Lucy McBath,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000357827,110000357827,4315911,30336STRLZ6005B,0,1540,99,10,9,9,18594,95,23,6,13,110000357827,https://echo.epa.gov/detailed-facility-report?fid=110000357827,No Violation Identified,0,0,1,#N/A,#N/A,95
1032,"Kpr U.S. Llc D/B/A Kendall Patient Recovery U.S., Llc",,33.3948,-81.9855,Augusta,Richmond,GA,30906,Sterilizer Rule,Commercial Sterilizer,GA12,Rep. Rick Allen,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000359638,110000359638,2534011,30906KNDLL1816M,0,1052,74,66,5,12,17574,70,55,8,13,110000359638,https://echo.epa.gov/detailed-facility-report?fid=110000359638,No Violation Identified,1,0,0,#N/A,#N/A,54
1033,"Bd (Becton, Dickinson And Company)",,33.6079,-83.8407,Covington,Newton,GA,30014,Sterilizer Rule,Commercial Sterilizer,GA13,Rep. David Scott,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110009356464,110009356464,2686511,30209CRBRD8195N,0,1610,40,35,11,13,18960,53,41,6,16,110009356464,https://echo.epa.gov/detailed-facility-report?fid=110009356464,No Violation Identified,9,9,0,#N/A,#N/A,201
1034,"Bd (Becton, Dickinson And Company)",,33.5623,-83.4681,Madison,Morgan,GA,30650,Sterilizer Rule,Commercial Sterilizer,GA10,Rep. David Scott,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110037143203,110037143203,17953911,30650BRDMD1211M,0,244,27,16,12,28,3553,25,21,7,18,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,94
1035,"American Contract Systems, Inc.",,41.6756,-93.7776,Grimes,Polk,IA,50111,Sterilizer Rule,Commercial Sterilizer,IA3,Rep. Zach Nunn,Republican,No Information,No Information,,,"110067245760, 110071854709",110067245760,21480811,0,0,5576,19,25,10,6,31696,16,19,7,9,110067245760,https://echo.epa.gov/detailed-facility-report?fid=110067245760,No Violation Identified,0,0,0,#N/A,#N/A,#N/A
1036,Medline Industries,,42.3369,-87.8890,Waukegan,Lake,IL,60085,Sterilizer Rule,Commercial Sterilizer,IL10,Rep. Brad Schneider,Democrat,No Information,No Information,,,110018354010,110018354010,8140511,60085CSMDF1160N,0,7121,88,45,9,11,82568,77,40,6,11,110018354010,https://echo.epa.gov/detailed-facility-report?fid=110018354010,No Violation Identified,1,0,1,#N/A,0,45
1037,Cook Incorporated,,39.2440,-86.6177,Ellettsville,Monroe,IN,47429,Sterilizer Rule,Commercial Sterilizer,IN9,Rep. Erin Houchin,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000403242,110000403242,4553311,47429CKNCX6300N,0,2255,2,18,5,23,12042,5,15,6,17,110000403242,https://echo.epa.gov/detailed-facility-report?fid=110000403242,No Violation Identified,10,10,1,#N/A,#N/A,149
1038,"Isomedix Operation, Inc.",,42.3524,-71.6317,Northborough,Worcester,MA,01532,Sterilizer Rule,Commercial Sterilizer,MA2,Rep. Jim McGovern,Democrat,No Information,No Information,,,110000498168,110000498168,8142611,01532SMDXP435WH,0,1539,16,11,3,20,17163,22,11,5,18,110000498168,https://echo.epa.gov/detailed-facility-report?fid=110000498168,Violation-Unresolved,12,0,0,#N/A,5,154
1039,"Pcs, Inc.",,41.9482,-71.1424,Taunton,Bristol,MA,02780,Sterilizer Rule,Commercial Sterilizer,MA4,Rep. Jake Auchincloss,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000882466,110000882466,8155611,02780PRFSS40MYL,0,1833,15,16,4,19,21650,20,22,5,14,110000882466,https://echo.epa.gov/detailed-facility-report?fid=110000882466,Violation-Unresolved,8,0,2,#N/A,0,293
1040,Fuchs North America,,39.6143,-76.8600,Hampstead,Carroll,MD,21074,Sterilizer Rule,Commercial Sterilizer,MD2,"Rep. John ""Johnny O"" Olszewski",Democrat,No Information,No Information,,,110070234075,110070234075,21481911,0,0,2153,11,14,7,13,14724,9,12,5,16,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,29
1041,"Elite Spice, Inc.",,39.1753,-76.7162,Hanover,Anne Arundel,MD,21076,Sterilizer Rule,Commercial Sterilizer,MD3,Rep. Sarah Elfreth,Democrat,No Information,No Information,,,110037142776,110037142776,17953511,21076LTSPC1415M,0,1546,49,16,8,9,44957,51,14,6,12,110037142776,https://echo.epa.gov/detailed-facility-report?fid=110037142776,No Violation Identified,0,0,0,#N/A,#N/A,918
1042,"Elite Spice, Inc.",,39.1753,-76.7162,Jessup,Howard,MD,20794,Sterilizer Rule,Commercial Sterilizer,MD3,Rep. Sarah Elfreth,Democrat,No Information,No Information,,,110000339269,110000339269,5997411,20794LTSPC7151M,0,8327,80,20,10,4,64169,60,17,7,9,110000339269,https://echo.epa.gov/detailed-facility-report?fid=110000339269,No Violation Identified,0,0,0,#N/A,#N/A,304
1043,"Trinity Sterile, Inc.",,38.4030,-75.5734,Salisbury,Wicomico,MD,21801,Sterilizer Rule,Commercial Sterilizer,MD1,Rep. Andy Harris,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,"110001260803, 110071440424",110001260803,6572011,2180WTRNTY21KIL,0,2116,54,30,5,13,28967,57,38,7,16,110001260803,https://echo.epa.gov/detailed-facility-report?fid=110001260803,No Violation Identified,0,0,0,#N/A,#N/A,223
1044,Midwest Sterilization Corporation,,37.3711,-89.6854,Jackson,Cape Girardeau,MO,63755,Sterilizer Rule,Commercial Sterilizer,MO8,Rep. Jason Smith,Republican,No Information,No Information,,,"110010307373, 110071882240",110010307373,7703311,63755MDWST124LE,0,1012,12,15,9,18,11844,9,22,7,16,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,"4,086"
1045,American Contract Systems,,39.1499,-94.5330,North Kansas City,Clay,MO,64117,Sterilizer Rule,Commercial Sterilizer,MO5,Rep. Emanuel Cleaver,Democrat,No Information,No Information,,,110071642383,110071642383,21480911,0,0,4362,23,43,11,21,51375,40,45,7,14,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,61
1046,"Sterigenics Us, Llc",,35.1369,-80.9843,Charlotte,Mecklenburg,NC,28278,Sterilizer Rule,Commercial Sterilizer,NC14,Rep. Tim Moore,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000349720,110000349720,7746311,28278GRFFT10801,0,7804,68,21,6,8,53605,68,20,8,8,110000349720,https://echo.epa.gov/detailed-facility-report?fid=110000349720,No Violation Identified,0,0,1,#N/A,#N/A,254
1047,Andersen Scientific,,35.8396,-78.8127,Morrisville,Wake,NC,27560,Sterilizer Rule,Commercial Sterilizer,NC4,Rep. Valerie Foushee,Democrat,No Information,No Information,,,110071854691,110071854691,21481511,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,0
1048,Becton Dickinson Pharmaceutical Systems,,41.4348,-97.3177,Columbus,Platte,NE,68601,Sterilizer Rule,Commercial Sterilizer,NE1,Rep. Mike Flood,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110013303656,110013303656,16431311,6860WBDPHR92E19,0,1279,36,23,8,9,18674,30,31,8,15,110013303656,https://echo.epa.gov/detailed-facility-report?fid=110013303656,Violation w/in 1 Year,1,0,0,#N/A,13,"1,875"
1049,"J-Pac, Llc",,43.2483,-70.8500,Somersworth,Strafford,NH,03878,Sterilizer Rule,Commercial Sterilizer,NH1,Rep. Chris Pappas,Democrat,No Information,No Information,,,110004106413,110004106413,0,0,0,4141,17,33,3,11,21543,13,19,4,14,110004106413,https://echo.epa.gov/detailed-facility-report?fid=110004106413,No Violation Identified,0,0,0,#N/A,#N/A,#N/A
1050,Cosmed Group Inc Dba Cosmed Of Nj,Cosmed Group Inc,41.1282,-74.5903,Franklin,Sussex,NJ,07416,Sterilizer Rule,Commercial Sterilizer,NJ5,Rep. Josh Gottheimer,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110070557911,110070557911,7518611,0741WCSMDF19PAR,0,2517,21,18,6,24,14383,21,18,4,19,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,146
1051,Eto Sterilization-Plant #2,Cosmed Group Inc,40.6408,-74.2132,Linden,Union,NJ,07036,Sterilizer Rule,Commercial Sterilizer,NJ7,Rep. Tom Kean,Republican,No Information,No Information,,,110000318567,110000318567,7647011,07036TSTRL2500B,0,20355,84,38,9,9,206847,83,36,7,12,110000318567,https://echo.epa.gov/detailed-facility-report?fid=110000318567,No Violation Identified,0,0,0,#N/A,#N/A,392
1052,"Sterigenics-Santa Teresa, Nm",,31.8607,-106.6882,Santa Teresa,Dona Ana,NM,88008,Sterilizer Rule,Commercial Sterilizer,NM2,Rep. Gabe Vasquez,Democrat,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000472541,110000472541,7582111,88008GRFFT2400A,0,195,61,27,4,28,3456,78,26,4,17,110000472541,https://echo.epa.gov/detailed-facility-report?fid=110000472541,No Violation Identified,0,0,1,#N/A,2,"7,449"
1053,Steris Isomedix Services Inc,,40.5685,-74.4299,South Plainfield,Middlesex,NJ,07080,Sterilizer Rule,Commercial Sterilizer,NJ6,Rep. Frank Pallone,Democrat,No Information,No Information,,,"110013694494, 110041057389",110013694494,6721211,07080CSMDF3459S,0,9299,77,10,7,10,110432,73,18,6,13,110013694494,https://echo.epa.gov/detailed-facility-report?fid=110013694494,No Violation Identified,0,0,0,#N/A,#N/A,316
1054,"Elite Spice, Inc.",,39.5214,-119.7233,Sparks,Washoe,NV,89431,Sterilizer Rule,Commercial Sterilizer,NV2,Rep. Mark Amodei,Republican,No Information,No Information,,,110000472925,110000472925,5148911,89431LTSPC1225G,0,781,45,28,7,11,61581,50,32,6,16,110000472925,https://echo.epa.gov/detailed-facility-report?fid=110000472925,No Violation Identified,0,0,0,#N/A,#N/A,333
1055,Long Island Sterilization,,40.8128,-73.2659,Hauppauge,Suffolk,NY,11788,Sterilizer Rule,Commercial Sterilizer,NY1,Rep. Nick LaLota,Republican,No Information,No Information,,,110019608735,110019608735,21482211,1178WLNGSL175WI,0,6604,44,11,5,14,87225,55,17,6,14,110019608735,https://echo.epa.gov/detailed-facility-report?fid=110019608735,No Violation Identified,0,0,0,#N/A,#N/A,59
1056,Sterigenics Us Llc,,43.3495,-73.5986,Queensbury,Washington,NY,12804,Sterilizer Rule,Commercial Sterilizer,NY21,Rep. Elise Stefanik,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to-sterile-medical-equipment/,110000499425,110000499425,8409411,12801GRFFT27PAR,0,158,3,33,5,22,1552,5,31,5,21,110000499425,https://echo.epa.gov/detailed-facility-report?fid=110000499425,No Violation Identified,0,0,0,#N/A,#N/A,"2,513"
